Buyer,Order_Date,Age,Gender,Income,loyalty_score,Location,PreviousCarOwnership,Purpose_of_Buying,Preference,Index
Richard Mathis,3/21/2019,20,Male,5597,3,Central,3,Business,sedan,B_3959
Daniel Wright,10/30/2019,37,Female,8842,8,South,2,Service,suv/crossover,B_3960
John Martinez,10/28/2021,39,Male,2799,7,North,2,Family,suv/crossover,B_3961
Amanda Shields,6/29/2023,48,Male,1012,3,North,2,Family,hatchback,B_3962
Hayley Moore,3/30/2020,41,Male,4530,5,Central,2,Service,van,B_3963
Timothy Nelson,9/9/2021,53,Male,4745,3,North,2,Family,hatchback,B_3964
Susan Butler,12/2/2020,45,Male,614,1,Central,0,Family,sedan,B_3965
Julia Buckley,8/2/2025,46,Female,3522,3,Central,2,Personal,mpv,B_3966
Matthew Yates,1/27/2021,44,Female,8104,2,North,1,Business,sedan,B_3967
Patricia Porter,10/28/2022,38,Male,4444,9,Central,3,Family,sedan,B_3968
Adrienne Murphy,9/22/2023,45,Male,1768,2,Central,2,Family,hatchback,B_3969
Deanna Harris,3/1/2019,53,Female,6855,9,South,3,Business,hatchback,B_3970
Kristen Hansen,1/13/2023,65,Female,7961,8,South,4,Business,stationwagon,B_3971
William Mooney,12/7/2019,40,Female,2709,1,Central,2,Family,mpv,B_3972
Jaime Bailey,12/30/2023,47,Male,8013,6,Central,2,Personal,mpv,B_3973
Christopher Davis,9/28/2024,62,Female,8481,6,North,3,Family,hatchback,B_3974
Alicia Hurley,3/5/2023,55,Female,1028,2,North,2,Family,sedan,B_3975
Selena Edwards,4/2/2021,53,Female,9897,9,South,3,Family,mpv,B_3976
Danny Weaver,8/1/2021,22,Female,6975,8,South,5,Service,suv/crossover,B_3977
Kenneth Fernandez,4/18/2022,64,Male,3907,9,South,3,Business,stationwagon,B_3978
Nicholas Martinez,6/15/2022,49,Male,5738,9,Central,2,Personal,hatchback,B_3979
Michael Foley,12/15/2021,29,Female,9614,3,North,4,Business,mpv,B_3980
Rebecca Zuniga,12/23/2019,38,Male,1391,1,North,1,Family,coupe,B_3981
Lawrence Santana,6/25/2024,27,Female,9046,9,South,2,Business,stationwagon,B_3982
Richard Baker,1/15/2021,20,Male,8624,8,Central,4,Business,sedan,B_3983
Daniel Norris,3/4/2024,47,Female,9967,8,Central,1,Business,stationwagon,B_3984
Jasmine Cook,3/27/2023,57,Female,1520,5,South,0,Personal,stationwagon,B_3985
James Ayers,3/10/2025,25,Female,5960,10,Central,1,Family,sedan,B_3986
Vincent Moore,11/21/2022,49,Female,6660,6,South,2,Family,sedan,B_3987
Patrick Contreras,6/19/2022,35,Female,9373,1,Central,4,Family,sedan,B_3988
Richard Morris,8/15/2025,32,Female,2416,8,North,0,Business,sedan,B_3989
Christopher Hill,4/5/2021,61,Female,6148,2,North,1,Family,sedan,B_3990
Mr. Jacob Pineda,4/14/2024,52,Female,6953,7,Central,2,Personal,cabriolet,B_3991
Jamie Medina,8/3/2024,49,Female,6101,1,Central,1,Service,stationwagon,B_3992
Albert Rodriguez,7/16/2023,32,Female,6840,8,South,3,Personal,stationwagon,B_3993
Kyle Fletcher,10/5/2024,36,Female,7403,5,South,3,Business,suv/crossover,B_3994
Melanie Collins,3/10/2020,49,Female,9418,1,Central,2,Family,sedan,B_3995
Joshua Sherman,11/22/2019,64,Male,5061,3,South,2,Service,mpv,B_3996
Joseph Perez,8/5/2020,55,Male,1497,5,North,2,Personal,hatchback,B_3997
Jonathan Edwards,4/23/2021,34,Male,8558,9,Central,1,Personal,sedan,B_3998
Danielle Little,6/25/2020,28,Female,7467,4,Central,3,Family,sedan,B_3999
Kristi Fischer,5/11/2022,62,Female,5707,5,Central,3,Service,stationwagon,B_4000
Colleen Gonzales,10/26/2023,23,Female,2977,3,South,2,Personal,van,B_4001
Alexandra Ward,5/5/2021,55,Female,5651,1,North,3,Service,suv/crossover,B_4002
Matthew Andersen,2/8/2020,33,Male,7253,4,North,5,Service,hatchback,B_4003
Jennifer Bates,12/15/2022,41,Female,3059,10,South,5,Business,stationwagon,B_4004
Kimberly Payne,1/14/2020,49,Male,6849,2,North,4,Family,stationwagon,B_4005
Brandon Davis,10/31/2023,59,Female,8812,9,South,3,Business,mpv,B_4006
Rhonda Smith,12/18/2021,65,Female,4285,10,North,5,Business,suv/crossover,B_4007
Katherine Barron,4/3/2021,64,Male,6492,10,Central,3,Business,mpv,B_4008
Dr. Michael Stevenson,9/24/2018,37,Male,4156,3,South,2,Service,sedan,B_4009
Latoya Owens,3/1/2020,58,Male,6506,3,Central,1,Business,sedan,B_4010
Todd Mcdonald,7/2/2025,53,Male,6498,1,North,4,Personal,cabriolet,B_4011
Stacy Reese,3/6/2022,56,Female,7722,7,North,5,Business,stationwagon,B_4012
Russell Baker,5/3/2025,42,Male,917,7,South,0,Family,stationwagon,B_4013
Tyler Becker,1/10/2021,43,Female,9871,3,South,2,Business,hatchback,B_4014
Julie Fuentes,8/15/2025,60,Female,1295,8,North,0,Personal,sedan,B_4015
Patricia Joseph,4/17/2024,32,Female,1150,8,Central,1,Family,mpv,B_4016
Connie Maxwell,3/16/2025,23,Male,7965,8,North,3,Personal,cabriolet,B_4017
Kristi Cohen,12/10/2022,23,Male,9328,6,Central,4,Service,hatchback,B_4018
Tina Paul,4/21/2022,28,Male,5050,7,South,2,Personal,hatchback,B_4019
William Morrow,3/5/2020,62,Male,6381,3,South,3,Business,mpv,B_4020
Michael Callahan,10/20/2022,41,Male,9313,5,Central,5,Business,stationwagon,B_4021
Timothy Cunningham,1/7/2020,61,Female,9330,7,South,4,Family,sedan,B_4022
Sharon Reed,1/10/2019,42,Female,2007,3,South,1,Family,mpv,B_4023
Brittney Barrett,5/11/2023,39,Female,8446,4,South,4,Family,cabriolet,B_4024
Anthony Fox,12/1/2018,20,Female,8012,1,North,2,Family,hatchback,B_4025
Michael Holloway,10/27/2019,40,Female,9122,1,North,2,Service,hatchback,B_4026
Brian Chavez,3/8/2024,53,Female,8798,6,South,3,Service,stationwagon,B_4027
Chad Glover,1/10/2022,26,Male,6019,2,Central,2,Business,sedan,B_4028
Carolyn Martinez,1/23/2022,65,Female,8530,3,Central,4,Service,hatchback,B_4029
Angela Lynn,6/2/2021,55,Female,9676,8,South,2,Business,suv/crossover,B_4030
Don Miller,2/4/2022,64,Female,3969,4,South,2,Business,stationwagon,B_4031
Robert Smith,6/23/2024,24,Male,3892,9,South,2,Business,stationwagon,B_4032
Destiny Cochran,11/23/2020,34,Male,6969,5,Central,4,Business,hatchback,B_4033
Martin Duffy,9/19/2018,20,Male,3466,6,Central,4,Business,hatchback,B_4034
Sharon Coleman,9/14/2024,25,Male,4764,1,South,3,Personal,hatchback,B_4035
Tanya Sanchez,1/20/2025,29,Female,4443,1,Central,4,Business,stationwagon,B_4036
Matthew Barron,4/15/2022,54,Male,4062,5,North,3,Service,sedan,B_4037
Robert Williams,3/27/2022,49,Female,6351,5,Central,4,Family,hatchback,B_4038
Catherine Hill,8/9/2023,25,Female,6225,4,South,2,Service,hatchback,B_4039
Gabriella Thompson,5/30/2024,54,Female,7354,3,South,3,Service,hatchback,B_4040
Sean Gray,3/7/2024,55,Female,4439,8,Central,4,Family,mpv,B_4041
Renee Wilkerson,4/5/2025,65,Male,8398,5,Central,2,Business,sedan,B_4042
Alexis Torres,2/3/2021,59,Male,7841,7,North,3,Family,suv/crossover,B_4043
Jacob Fields,12/3/2020,40,Female,6895,7,North,2,Personal,coupe,B_4044
Daniel James,2/29/2020,52,Female,9392,4,South,3,Service,hatchback,B_4045
Darren Dougherty,10/23/2024,37,Female,2286,4,Central,2,Family,mpv,B_4046
Nathan Moore,8/22/2024,63,Female,628,4,Central,0,Personal,stationwagon,B_4047
Andrea Aguirre,12/30/2024,32,Female,6982,4,South,3,Service,mpv,B_4048
Mark Knight,6/4/2021,22,Male,8638,5,North,2,Business,hatchback,B_4049
Robert Mccullough,7/27/2025,47,Female,8017,5,North,4,Service,suv/crossover,B_4050
Michael Blanchard,3/29/2025,39,Female,3881,10,North,3,Service,hatchback,B_4051
Taylor Cox,7/22/2021,52,Female,6175,9,North,3,Family,mpv,B_4052
Amanda Nelson,10/1/2023,36,Female,1166,1,South,1,Family,hatchback,B_4053
Brooke Mitchell,5/12/2025,62,Male,8302,6,Central,3,Personal,mpv,B_4054
Bonnie Leach,3/12/2023,47,Male,4778,7,Central,2,Family,hatchback,B_4055
Marcia Johnson,4/2/2022,21,Female,3871,1,South,3,Personal,stationwagon,B_4056
Debra Williams,5/11/2021,39,Female,1010,3,Central,0,Personal,hatchback,B_4057
Steve Becker,4/8/2020,47,Male,7045,9,South,1,Family,sedan,B_4058
Gary Lang,11/27/2022,48,Female,6859,5,North,2,Business,sedan,B_4059
Robert Hayes,4/4/2023,60,Female,1439,5,Central,1,Family,stationwagon,B_4060
Thomas Watson,1/26/2025,41,Male,6607,7,North,1,Family,sedan,B_4061
Michelle Pittman,6/22/2020,30,Male,2692,1,North,1,Personal,hatchback,B_4062
Carmen Carr,12/30/2022,24,Female,8160,9,North,3,Family,sedan,B_4063
Sara Gibson,8/20/2025,40,Female,9882,4,Central,2,Business,hatchback,B_4064
Amber Mills,7/6/2025,37,Male,2138,4,Central,1,Business,stationwagon,B_4065
Terrance Riley,8/11/2020,58,Male,7381,7,Central,3,Business,hatchback,B_4066
Dr. Sean Thomas Jr.,3/2/2021,54,Female,6806,5,Central,2,Personal,mpv,B_4067
Scott Nelson,6/26/2023,50,Male,9494,2,South,1,Business,hatchback,B_4068
Patrick Mullen,2/2/2025,39,Female,7438,10,North,1,Family,stationwagon,B_4069
Louis Davis,9/21/2019,52,Female,7288,8,North,3,Service,mpv,B_4070
Tamara Burton,11/1/2024,30,Male,6453,4,Central,3,Business,hatchback,B_4071
Alexandra Arnold,3/11/2025,45,Male,2986,6,Central,1,Family,hatchback,B_4072
Kristi Bryant,12/19/2023,44,Female,1942,5,Central,2,Family,sedan,B_4073
Sarah Ramsey,10/5/2018,34,Male,9214,10,Central,1,Family,hatchback,B_4074
Jose Hodge,10/19/2024,20,Female,7271,7,South,1,Family,stationwagon,B_4075
Philip Berger,9/30/2021,58,Male,1965,8,North,0,Personal,sedan,B_4076
Benjamin Smith,9/22/2019,43,Female,2754,8,North,0,Business,hatchback,B_4077
Sandra Gross,7/22/2025,46,Female,519,9,Central,0,Family,sedan,B_4078
Nathan Mitchell,2/19/2022,53,Female,6012,6,Central,5,Personal,coupe,B_4079
Anne James,9/19/2024,54,Male,5040,8,North,4,Business,mpv,B_4080
Christopher Rodriguez,1/20/2022,64,Female,6787,9,South,2,Family,hatchback,B_4081
Johnathan Green,2/25/2025,61,Male,8465,3,Central,3,Service,hatchback,B_4082
Kristine Young,1/12/2020,46,Female,2208,3,North,1,Business,coupe,B_4083
Christy Mcguire,7/2/2022,48,Male,7456,10,Central,2,Family,hatchback,B_4084
John Johnson,3/31/2021,56,Male,9957,7,South,3,Personal,hatchback,B_4085
Sandra Knapp DDS,12/16/2023,65,Female,4596,10,North,3,Personal,hatchback,B_4086
Kelly Graham,5/9/2020,30,Male,8109,3,North,2,Family,hatchback,B_4087
Amy Holmes,3/14/2024,52,Male,4151,2,South,4,Service,hatchback,B_4088
Gina Beck,5/18/2025,56,Female,1621,2,Central,1,Personal,coupe,B_4089
Kevin Cantu,10/22/2024,64,Male,6504,6,North,2,Personal,hatchback,B_4090
Ryan Thompson,9/11/2024,43,Female,1680,6,South,0,Personal,stationwagon,B_4091
Chase Cole,7/26/2019,63,Male,3511,2,Central,3,Personal,hatchback,B_4092
Chase Stephens,4/16/2022,52,Male,8583,2,North,3,Personal,hatchback,B_4093
Anthony Bailey,6/23/2022,61,Male,3946,7,North,1,Service,sedan,B_4094
Valerie Johnson,8/31/2021,47,Male,8888,10,South,5,Business,stationwagon,B_4095
Alexander Hill,10/25/2019,60,Male,3617,6,Central,1,Family,hatchback,B_4096
Jose Baker,12/1/2018,56,Male,6660,6,North,4,Personal,hatchback,B_4097
Bradley Luna,5/28/2019,55,Male,4723,4,South,4,Personal,mpv,B_4098
Miguel Wilson,10/6/2024,25,Male,3310,9,North,1,Service,hatchback,B_4099
Emily Foster,4/4/2020,34,Male,6950,2,North,2,Service,van,B_4100
Candace Woods,5/27/2024,49,Female,9569,5,North,5,Service,stationwagon,B_4101
Vanessa Combs DDS,8/21/2021,52,Male,958,10,Central,0,Family,suv/crossover,B_4102
Julian Mcguire DDS,2/5/2021,28,Male,9236,4,South,2,Service,sedan,B_4103
Sarah Johnson,6/17/2022,55,Male,9924,9,South,3,Family,hatchback,B_4104
Gail Reyes,10/2/2021,50,Male,5162,10,South,3,Personal,sedan,B_4105
Mark Bailey,6/18/2022,33,Male,9449,2,South,2,Family,van,B_4106
Todd Summers,11/28/2018,58,Male,7902,7,North,3,Service,suv/crossover,B_4107
Marco Cook,3/30/2024,37,Female,661,2,North,0,Personal,hatchback,B_4108
Gina Smith,5/28/2020,59,Male,8410,1,Central,3,Business,suv/crossover,B_4109
Kenneth Anderson,5/21/2023,30,Female,7291,2,South,1,Family,hatchback,B_4110
Philip West,11/27/2024,22,Female,1887,10,South,1,Business,mpv,B_4111
Gregory Wilson,5/21/2024,56,Female,1002,9,South,2,Personal,cabriolet,B_4112
Scott Owens,10/20/2021,48,Female,1144,4,Central,1,Family,hatchback,B_4113
Cynthia Shaw,9/28/2018,29,Female,2937,7,South,1,Business,stationwagon,B_4114
Carrie Smith,5/22/2019,52,Male,6116,4,North,5,Service,mpv,B_4115
Matthew Lopez,7/8/2025,51,Female,5765,6,Central,1,Family,suv/crossover,B_4116
Alexander Phelps,11/6/2023,23,Male,3401,10,South,3,Family,hatchback,B_4117
Shannon Powell,3/29/2025,29,Female,8396,6,South,2,Family,hatchback,B_4118
Melanie Perez,5/18/2023,61,Female,7355,3,Central,2,Family,hatchback,B_4119
Karen Sanchez,6/23/2022,46,Female,7005,8,South,2,Family,mpv,B_4120
Steven Johnson,10/1/2020,65,Female,1206,2,Central,2,Personal,hatchback,B_4121
Pamela Rodriguez,12/24/2020,37,Male,6504,2,Central,4,Service,mpv,B_4122
Michele Smith,8/14/2021,41,Female,6209,6,North,2,Family,hatchback,B_4123
Kelsey Gonzalez,10/5/2020,39,Male,6762,7,North,3,Business,hatchback,B_4124
Anne Williams,3/20/2024,58,Male,9760,10,North,5,Business,hatchback,B_4125
Victor Blake,7/24/2024,59,Female,2437,5,South,3,Personal,hatchback,B_4126
Austin Melton,12/4/2021,39,Male,1565,7,North,1,Personal,hatchback,B_4127
Alexis Cook,11/21/2023,38,Female,4127,8,Central,4,Service,suv/crossover,B_4128
Douglas Moore,6/9/2025,64,Female,4554,1,North,3,Family,coupe,B_4129
Ronald Wright,2/11/2021,37,Female,8204,2,Central,3,Business,sedan,B_4130
Bridget Brown,7/13/2021,64,Male,9557,10,North,5,Family,hatchback,B_4131
Lynn Harrington,6/26/2025,62,Male,6762,1,South,5,Service,stationwagon,B_4132
Dean Mejia,12/12/2019,34,Female,5170,4,Central,2,Family,hatchback,B_4133
Manuel Rogers,12/28/2019,30,Female,981,4,South,0,Personal,sedan,B_4134
Joseph Jones,8/22/2025,43,Female,8560,7,Central,4,Family,stationwagon,B_4135
Billy Dominguez,2/22/2021,30,Female,9032,8,North,3,Family,hatchback,B_4136
Stephanie Clayton,9/25/2020,40,Female,4672,9,Central,3,Personal,hatchback,B_4137
Rachel Edwards,7/31/2022,59,Male,4019,3,North,3,Service,hatchback,B_4138
Bethany Middleton,11/4/2024,65,Male,1703,1,North,3,Family,hatchback,B_4139
Christopher Wilson,6/12/2020,31,Female,2544,8,Central,1,Family,stationwagon,B_4140
Keith Davis,1/29/2019,33,Male,7489,6,South,3,Business,suv/crossover,B_4141
Keith Rice,1/28/2023,61,Female,9015,3,North,1,Family,sedan,B_4142
Dennis Newman,12/17/2021,28,Male,7068,10,South,2,Family,hatchback,B_4143
Charles Fry,5/18/2019,46,Female,3592,1,North,4,Personal,sedan,B_4144
Rachel Montes,7/13/2020,56,Male,2776,3,South,2,Business,mpv,B_4145
Kaitlin Thompson,6/6/2023,36,Male,3365,5,Central,5,Family,suv/crossover,B_4146
Sean Knox,12/20/2021,64,Male,5911,6,North,2,Business,stationwagon,B_4147
Michael Wright,7/5/2019,39,Male,6232,4,Central,4,Family,hatchback,B_4148
Brittany Richard,8/1/2019,26,Male,5530,8,South,4,Family,hatchback,B_4149
Samantha Gomez,1/12/2020,37,Male,6249,8,South,5,Family,coupe,B_4150
Ashley Wall,5/16/2022,39,Female,8130,9,South,2,Business,coupe,B_4151
Patrick Hampton,2/21/2024,27,Female,4236,6,North,3,Personal,sedan,B_4152
Frank Carey,3/13/2023,35,Female,3754,1,South,2,Business,suv/crossover,B_4153
Alexandra Harris,5/15/2023,61,Male,2255,1,Central,1,Personal,sedan,B_4154
Jeffrey Brown,1/4/2020,60,Male,9918,3,Central,2,Personal,mpv,B_4155
Aaron Williams,6/8/2019,43,Female,828,2,South,0,Personal,hatchback,B_4156
Lisa Rhodes,5/16/2025,40,Female,9051,4,North,1,Personal,sedan,B_4157
John Walker,1/26/2020,30,Male,9145,9,South,2,Family,stationwagon,B_4158
Michael Richmond,9/28/2021,57,Female,3084,8,South,2,Service,hatchback,B_4159
Jordan Morse,3/27/2019,28,Male,7853,7,South,3,Service,hatchback,B_4160
Nicholas Landry,6/18/2025,44,Female,9163,6,South,2,Business,hatchback,B_4161
John Russell,4/17/2024,64,Male,618,1,South,2,Personal,sedan,B_4162
Debra Holmes,3/21/2020,51,Male,3315,10,Central,3,Family,hatchback,B_4163
Rebekah Diaz,8/20/2021,25,Male,9006,10,Central,4,Service,cabriolet,B_4164
Sherry Duarte,9/14/2021,31,Male,9530,10,North,5,Personal,stationwagon,B_4165
John Douglas,10/11/2021,34,Female,6627,4,South,3,Family,hatchback,B_4166
Crystal Mcgee,5/29/2019,36,Male,3119,7,South,2,Personal,stationwagon,B_4167
Emily Day,7/30/2022,32,Female,1521,8,North,1,Business,hatchback,B_4168
Laura Parker,5/16/2019,33,Female,2731,8,South,3,Business,stationwagon,B_4169
Alyssa Ferguson,5/31/2024,21,Female,7120,6,South,2,Family,sedan,B_4170
Kelly Thomas,9/13/2024,42,Female,9065,4,South,5,Family,mpv,B_4171
Nicole Perry,9/27/2024,46,Female,8685,6,North,2,Personal,hatchback,B_4172
Thomas Lozano,10/26/2024,41,Male,7553,4,North,5,Family,hatchback,B_4173
Meredith Gonzalez,12/20/2019,51,Male,6064,10,North,4,Family,hatchback,B_4174
Dawn Bradley,3/29/2022,47,Female,3805,3,Central,2,Personal,hatchback,B_4175
Zachary Townsend,9/8/2019,48,Male,1759,9,Central,2,Family,hatchback,B_4176
Kathryn Davis,10/14/2024,39,Female,2058,4,South,2,Family,sedan,B_4177
Mario Baker,12/8/2021,25,Male,2060,3,South,1,Personal,sedan,B_4178
Abigail Mckinney,1/26/2021,50,Male,6208,3,North,1,Personal,hatchback,B_4179
Jessica Watson,10/6/2020,65,Female,5018,8,North,3,Family,hatchback,B_4180
Rebecca Palmer,1/31/2024,20,Female,4681,8,South,4,Service,hatchback,B_4181
Harold Calderon,5/1/2019,47,Female,9117,8,South,4,Business,hatchback,B_4182
Jacob Williams,1/24/2021,59,Male,5132,9,North,4,Business,coupe,B_4183
Matthew Moss,1/3/2019,41,Female,9754,1,Central,2,Business,sedan,B_4184
Thomas Ramirez,12/7/2018,25,Male,767,8,South,0,Personal,sedan,B_4185
Mary Schmitt,1/20/2025,39,Male,2285,10,South,2,Business,stationwagon,B_4186
Benjamin Bryant,6/11/2019,46,Female,1668,10,Central,3,Family,sedan,B_4187
Andrea Bond,10/1/2019,46,Male,8023,10,North,1,Service,hatchback,B_4188
Robert Howard,5/10/2019,41,Male,7115,3,North,2,Personal,coupe,B_4189
Derek Cochran,8/13/2021,34,Female,5540,2,Central,1,Family,van,B_4190
Christina Davis,12/25/2023,45,Female,2061,3,North,3,Personal,hatchback,B_4191
Jesse Rodriguez,2/13/2025,47,Male,2676,7,North,1,Business,sedan,B_4192
Jamie Richardson,2/20/2019,47,Male,6873,9,Central,2,Business,hatchback,B_4193
Lauren Perez,10/6/2022,41,Female,2214,1,Central,1,Family,suv/crossover,B_4194
William Sutton,1/23/2025,24,Male,2136,8,North,1,Personal,cabriolet,B_4195
Tiffany Hunt,7/13/2023,46,Female,9330,5,North,4,Business,mpv,B_4196
Mrs. Carla Tran,12/1/2021,50,Male,9577,6,South,2,Personal,hatchback,B_4197
Pamela Sanchez,6/19/2024,57,Female,6609,6,North,3,Family,hatchback,B_4198
Kimberly Bass,3/1/2023,22,Female,5406,5,South,1,Service,hatchback,B_4199
Susan Burns,6/7/2019,35,Male,4551,6,Central,4,Business,stationwagon,B_4200
Crystal Boyer,10/25/2022,24,Female,1370,9,North,2,Personal,bus,B_4201
Derrick Lopez,10/7/2024,55,Female,2844,9,North,3,Family,sedan,B_4202
Corey Maldonado,7/29/2023,27,Female,9484,1,Central,3,Family,stationwagon,B_4203
John Jones,3/14/2020,62,Female,801,5,Central,1,Family,hatchback,B_4204
Vincent Dixon,1/5/2025,39,Female,2338,2,Central,1,Family,sedan,B_4205
Dana Mann,11/9/2022,24,Male,2259,1,North,0,Personal,coupe,B_4206
Timothy Lindsey,5/7/2023,23,Male,534,6,North,0,Family,hatchback,B_4207
Beth Gaines,1/18/2025,59,Male,1458,5,Central,1,Personal,stationwagon,B_4208
Kayla Edwards,11/18/2018,31,Female,5803,8,South,2,Personal,hatchback,B_4209
Lisa Oneal,10/27/2020,30,Female,2547,7,North,1,Business,hatchback,B_4210
Jessica Wood,10/23/2024,62,Male,2462,10,Central,1,Personal,sedan,B_4211
Justin Hoffman,6/11/2023,32,Male,7249,2,South,4,Service,hatchback,B_4212
Eric Marshall,2/12/2023,42,Female,7158,2,South,4,Personal,stationwagon,B_4213
Dr. Christopher Walker,2/22/2020,65,Female,9271,7,Central,4,Service,coupe,B_4214
Kimberly Mooney,8/13/2019,32,Female,1654,9,North,1,Business,mpv,B_4215
Miss Rebecca Coleman,6/22/2022,53,Female,4453,6,Central,4,Family,hatchback,B_4216
Ashley Hall,7/25/2021,57,Female,2102,9,Central,1,Family,sedan,B_4217
Kelly Wolfe,11/24/2018,26,Male,2317,4,Central,0,Family,hatchback,B_4218
April Webster,2/22/2020,30,Male,5644,7,South,4,Business,sedan,B_4219
Jenny Case,3/13/2021,57,Male,4620,10,North,2,Personal,sedan,B_4220
Robin Frost,10/18/2022,44,Female,3403,8,North,5,Business,stationwagon,B_4221
Robert Ortiz,10/7/2024,36,Male,8362,2,Central,3,Personal,hatchback,B_4222
Christopher Stephens,7/5/2024,36,Male,2417,5,South,1,Family,hatchback,B_4223
Todd Jimenez,9/24/2023,31,Male,7017,6,North,4,Family,hatchback,B_4224
Ronald Porter,6/4/2023,56,Male,969,1,South,0,Personal,mpv,B_4225
Robin Evans,12/15/2020,42,Male,8434,10,South,2,Family,sedan,B_4226
Deborah Davis,4/20/2019,38,Female,4760,6,North,5,Family,stationwagon,B_4227
Francisco Morales,8/17/2020,38,Male,2625,9,North,1,Business,stationwagon,B_4228
Emma Lawrence,6/20/2022,20,Female,2111,6,Central,1,Business,sedan,B_4229
Sandra Edwards,10/31/2023,23,Female,5696,1,North,3,Family,hatchback,B_4230
Thomas Matthews,8/25/2023,58,Male,5195,3,South,5,Service,cabriolet,B_4231
Michael Black,1/22/2022,58,Male,8199,6,Central,4,Family,stationwagon,B_4232
Derrick Wolf,11/27/2018,25,Male,1308,6,South,2,Personal,hatchback,B_4233
Cody Ramos,5/2/2019,27,Female,4784,1,Central,3,Service,hatchback,B_4234
Jennifer Clark,2/21/2020,29,Female,7602,10,North,5,Business,mpv,B_4235
John Garcia,5/22/2024,54,Female,3481,7,North,3,Family,sedan,B_4236
Jaime Pierce,4/5/2023,28,Male,8514,3,Central,3,Family,stationwagon,B_4237
Randy Ramsey,8/22/2021,21,Female,8259,1,South,3,Family,hatchback,B_4238
Stacey Brown,2/3/2020,57,Female,533,7,South,1,Family,hatchback,B_4239
Carl Barnes,4/7/2025,54,Male,5920,10,Central,4,Business,suv/crossover,B_4240
Traci Mitchell,4/15/2023,64,Male,7836,3,Central,2,Business,stationwagon,B_4241
Benjamin Gregory,12/2/2018,26,Female,3584,7,North,2,Business,coupe,B_4242
Sean Coleman,3/11/2022,41,Male,2749,8,North,2,Business,cabriolet,B_4243
Taylor Wells,7/11/2021,40,Male,2179,10,Central,2,Personal,stationwagon,B_4244
Erika Miller,10/22/2020,24,Female,9751,2,North,1,Business,suv/crossover,B_4245
Cathy Lee,12/1/2019,24,Male,1308,7,South,3,Family,suv/crossover,B_4246
Parker Harrington,1/10/2024,52,Male,3351,9,North,2,Family,coupe,B_4247
Daniel Foster,3/3/2021,35,Male,1184,7,South,0,Family,sedan,B_4248
Kathleen Miller,6/19/2021,42,Female,6272,5,Central,2,Business,sedan,B_4249
Alexander Fowler,8/31/2021,54,Female,3007,10,North,2,Service,coupe,B_4250
Amy Guerra,6/7/2023,25,Male,3142,5,South,4,Service,sedan,B_4251
Marilyn Patrick,7/17/2021,40,Female,7563,7,South,1,Family,sedan,B_4252
Christopher Taylor,6/24/2024,24,Male,7341,4,South,2,Family,hatchback,B_4253
Daniel Hunter Jr.,6/16/2019,25,Female,8503,6,Central,2,Family,hatchback,B_4254
Kayla Gaines,1/11/2025,50,Female,9222,4,North,3,Service,stationwagon,B_4255
Tammy Medina,2/22/2025,63,Male,6903,10,South,4,Business,hatchback,B_4256
Jacob Smith,8/29/2022,58,Male,2383,10,North,2,Personal,sedan,B_4257
Dr. Keith Campbell,10/3/2020,47,Male,5780,6,South,2,Business,hatchback,B_4258
Greg Davis,6/22/2025,20,Female,4340,6,Central,4,Personal,stationwagon,B_4259
Thomas Thompson,6/4/2023,30,Female,8128,3,Central,3,Family,van,B_4260
Patricia Woodward,1/10/2024,44,Female,1477,5,North,1,Personal,stationwagon,B_4261
Julie Williams,11/24/2024,50,Male,1874,3,North,0,Personal,hatchback,B_4262
Micheal Banks,9/1/2023,23,Female,7994,6,South,4,Personal,suv/crossover,B_4263
Joseph Martinez,6/16/2020,56,Male,4067,7,Central,2,Family,sedan,B_4264
Gary Jones,11/30/2022,57,Male,7004,6,Central,5,Business,mpv,B_4265
Timothy Perry,8/23/2022,24,Female,6230,4,South,2,Personal,hatchback,B_4266
Bryan Owens MD,7/17/2022,22,Female,4996,8,North,4,Business,hatchback,B_4267
Mario Martinez,1/14/2024,39,Male,2844,5,South,2,Family,suv/crossover,B_4268
Crystal Dominguez MD,11/7/2019,51,Female,7601,5,North,3,Personal,sedan,B_4269
Andrew Richards,10/2/2024,57,Male,7760,10,South,4,Business,sedan,B_4270
Johnathan Robinson,8/19/2025,52,Male,5141,3,North,5,Family,stationwagon,B_4271
Derek Reese,12/5/2022,25,Male,4103,7,South,3,Business,sedan,B_4272
Eric Singh,1/12/2025,38,Male,2608,1,Central,0,Personal,hatchback,B_4273
Jesus Gordon,9/30/2018,61,Male,8278,3,South,3,Business,sedan,B_4274
Alyssa Lee,6/7/2024,36,Male,2268,7,Central,1,Personal,stationwagon,B_4275
Jennifer Adkins,5/4/2022,31,Female,8745,5,North,3,Personal,stationwagon,B_4276
Allen Taylor MD,9/21/2023,47,Female,5259,1,South,2,Family,sedan,B_4277
Denise Nguyen,7/12/2020,47,Male,5277,6,North,2,Service,sedan,B_4278
Jennifer Jones,6/2/2025,38,Female,4008,10,South,3,Family,sedan,B_4279
Rebecca King,4/12/2024,21,Male,7873,7,North,4,Business,mpv,B_4280
Jon Rivera,6/4/2019,30,Female,573,3,Central,1,Personal,stationwagon,B_4281
Sara Morgan,3/7/2023,31,Female,7460,10,Central,2,Family,stationwagon,B_4282
